Title,,Vader,Link,Media,Date
Twitter flags Squid Game token accounts as price crashes,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/twitter-flags-squid-game-token-accounts-as-price-crashes-2662609,Cointelegraph,1.Nov.21
"Bitcoin trades higher, Shiba Inu outperforms",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/bitcoin-trades-higher-shiba-inu-outperforms-2662595,Investing.com,1.Nov.21
Automata Network Launches Mainnet and $20M Ecosystem Incentive Program,,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.3612}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/automata-network-launches-mainnet-and-20m-ecosystem-incentive-program-2662545,CoinQuora,1.Nov.21
Dallas Mavericks fan wins $100K in Bitcoin at NBA shootout event,,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.7184}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/dallas-mavericks-fan-wins-100k-in-bitcoin-at-nba-shootout-event-2662541,Cointelegraph,1.Nov.21
Americans reinvesting stimulus checks in Bitcoin made $4.5k in profit,,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/americans-reinvesting-stimulus-checks-in-bitcoin-made-45k-in-profit-2662501,Cointelegraph,1.Nov.21
Investors Rug-pulled After Pouring $57m Into Dog-themed OlympusDAO Fork,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/investors-rugpulled-after-pouring-57m-into-dogthemed-olympusdao-fork-2662476,CoinQuora,1.Nov.21
Bitcoin price descending channel and loss of momentum could turn $60K to resistance ,,"{'neg': 0.161, 'neu': 0.839, 'pos': 0.0, 'compound': -0.3182}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/bitcoin-price-descending-channel-and-loss-of-momentum-could-turn-60k-to-resistance-2662394,Cointelegraph,1.Nov.21
Velas Launches Its First DEX  40 More Projects on the Pipeline,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/velas-launches-its-first-dex--40-more-projects-on-the-pipeline-2662379,CoinQuora,1.Nov.21
"Puppy Planet Set to Launch Play-to-Earn Game Soon, Begin PUP Token Sale",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/puppy-planet-set-to-launch-playtoearn-game-soon-begin-pup-token-sale-2662334,CoinQuora,1.Nov.21
Shiba Inu now accepted as payment at a French bistro in Paris,,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/shiba-inu-now-accepted-as-payment-at-a-french-bistro-in-paris-2662309,Cointelegraph,1.Nov.21
Is It Too Late to Buy Bitcoin?,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/is-it-too-late-to-buy-bitcoin-2662296,DailyCoin,1.Nov.21
Satoshi Nakamoto_ Bitcoin white paper is now a 13-year-old teenager,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/satoshi-nakamotos-bitcoin-white-paper-is-now-a-13yearold-teenager-2662279,Cointelegraph,1.Nov.21
"Idowall starts off with Seed-Sales, aims to maximize the benefits for earlier joiners.",,"{'neg': 0.0, 'neu': 0.822, 'pos': 0.178, 'compound': 0.3818}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/idowall-starts-off-with-seedsales-aims-to-maximize-the-benefits-for-earlier-joiners-2662247,CoinQuora,1.Nov.21
"XRP Transactions Reach New Heights In Q3, ODL Sales Show Sharp Climb",,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0258}",https://invst.ly/wh3mn,CryptoDaily,1.Nov.21
Latinx communities continue to rise above Bitcoin adoption obstacles,,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/latinx-communities-continue-to-rise-above-bitcoin-adoption-obstacles-2662225,Cointelegraph,1.Nov.21
'Uptober' closes at record high in best month of 2021  5 things to watch in Bitcoin this week,,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.6369}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/uptober-closes-at-record-high-in-best-month-of-2021---5-things-to-watch-in-bitcoin-this-week-2662193,Cointelegraph,1.Nov.21
TRON Launches Cross-Chain Scaling Solution BitTorrent Chain,,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}",https://invst.ly/wh2o8,CryptoDaily,1.Nov.21
The MetaVerse: Brave New World or Capitalist Hellscape?,,"{'neg': 0.0, 'neu': 0.673, 'pos': 0.327, 'compound': 0.5267}",https://invst.ly/wh2oc,ETF Trends,1.Nov.21
Crypto Analyst Says the Internet Might Break if Robinhood Lists SHIB,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/crypto-analyst-says-the-internet-might-break-if-robinhood-lists-shib-2662171,CoinQuora,1.Nov.21
Bitcoin White Paper Turned 13 Years Old: Here Is The Journey So Far,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://invst.ly/wh1s-,CryptoVibes,1.Nov.21
Polka City- A Virtual City for Investors to Play 3D Game and Earn Through NFTs,,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.34}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/polka-city-a-virtual-city-for-investors-to-play-3d-game-and-earn-through-nfts-2662150,CoinQuora,1.Nov.21
Investors rug-pulled after pouring $57M into dog-themed OlympusDAO fork,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/investors-rugpulled-after-pouring-57m-into-dogthemed-olympusdao-fork-2662135,Cointelegraph,1.Nov.21
Mike Cagney on The Blockchain Interviews with Dan Weiskopf,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://invst.ly/wh0ug,ETF Trends,1.Nov.21
Industrial Bitcoin mining breathes new life into tiny Texan town,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/industrial-bitcoin-mining-breathes-new-life-into-tiny-texan-town-2662124,Cointelegraph,1.Nov.21
Coins That Came Back From the Dead,,"{'neg': 0.417, 'neu': 0.583, 'pos': 0.0, 'compound': -0.6486}",https://www.investing.com/news/cryptocurrency-news/1/news/cryptocurrency-news/coins-that-came-back-from-the-dead-2662112,DailyCoin,1.Nov.21
Aavegotchi gains 50% as _otchiverse auctions set a path to the Metaverse,,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/aavegotchi-gains-50-as-gotchiverse-auctions-set-a-path-to-the-metaverse-2662060,Cointelegraph,1.Nov.21
"Altcoin Roundup: Dogecoin, Shiba Inu and memes are hauling the dogsled to mass adoption",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/altcoin-roundup-dogecoin-shiba-inu-and-memes-are-hauling-the-dogsled-to-mass-adoption-2662043,Cointelegraph,1.Nov.21
US Senator Hagerty to CFPB Director: Don_ Stifle Crypto Innovation ,,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.3818}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/us-senator-hagerty-to-cfpb-director-dont-stifle-crypto-innovation-2662037,Cointelegraph,1.Nov.21
DeFi protocol Aave encounters major capital flight ,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/defi-protocol-aave-encounters-major-capital-flight-2662035,Cointelegraph,1.Nov.21
Blockchain technology can make micropayments finally functional,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/blockchain-technology-can-make-micropayments-finally-functional-2662031,Cointelegraph,1.Nov.21
AMC Theatres CEO considers adding Shiba Inu as payment for ticket purchases ,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/amc-theatres-ceo-considers-adding-shiba-inu-as-payment-for-ticket-purchases-2662025,Cointelegraph,1.Nov.21
Celebrities are embracing NFTs in a big way,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/celebrities-are-embracing-nfts-in-a-big-way-2662007,Cointelegraph,1.Nov.21
"Top 5 cryptocurrencies to watch this week: BTC, ETH, BNB, MATIC, FTM",,"{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.2023}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/top-5-cryptocurrencies-to-watch-this-week-btc-eth-bnb-matic-ftm-2661998,Cointelegraph,1.Nov.21
Kazakhstan expects at least $1.5B in economic activity from crypto mining within 5 years,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/kazakhstan-expects-at-least-15b-in-economic-activity-from-crypto-mining-within-5-years-2661963,Cointelegraph,1.Nov.21
"Bakkt stock goes parabolic, GBTC outpaces BITO ETF and Tom Brady offers 1 BTC for 600th touchdown ball: Hodler_ Digest, Oct. 24-30",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/bakkt-stock-goes-parabolic-gbtc-outpaces-bito-etf-and-tom-brady-offers-1-btc-for-600th-touchdown-ball-hodlers-digest-oct-2430-2661958,Cointelegraph,1.Nov.21
Inside the blockchain developer_ mind: What is a testnet?,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/inside-the-blockchain-developers-mind-what-is-a-testnet-2661952,Cointelegraph,1.Nov.21
The United States will become the global crypto and blockchain leader,,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/the-united-states-will-become-the-global-crypto-and-blockchain-leader-2661945,Cointelegraph,1.Nov.21
Top Crypto Projects We Believed in that Are Now Dead Coins,,"{'neg': 0.285, 'neu': 0.596, 'pos': 0.119, 'compound': -0.5423}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/top-crypto-projects-we-believed-in-that-are-now-dead-coins-2661942,DailyCoin,1.Nov.21
"Price analysis 10/29: BTC, ETH, BNB, ADA, SOL, XRP, DOT, DOGE, SHIB, LUNA",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/price-analysis-1029-btc-eth-bnb-ada-sol-xrp-dot-doge-shib-luna-2661940,Cointelegraph,1.Nov.21
The major tax myths about cryptocurrency debunked,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/the-major-tax-myths-about-cryptocurrency-debunked-2661928,Cointelegraph,1.Nov.21
Trick or Treat: Will Halloween NFTs be hauntingly good or too spooky for crypto?,,"{'neg': 0.067, 'neu': 0.618, 'pos': 0.315, 'compound': 0.6597}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/trick-or-treat-will-halloween-nfts-be-hauntingly-good-or-too-spooky-for-crypto-2661924,Cointelegraph,1.Nov.21
Elon Musk-named meme token 'Dogelon Mars' gains nearly 4000% in October,,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/elon-musknamed-meme-token-dogelon-mars-gains-nearly-4000-in-october-2661922,Cointelegraph,1.Nov.21
What is the worst nightmare that could happen to crypto? Experts answer,,"{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.6249}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/what-is-the-worst-nightmare-that-could-happen-to-crypto-experts-answer-2661912,Cointelegraph,1.Nov.21
AVAX tops the crypto predictability list... but the other tokens may surprise you,,"{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.5859}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/avax-tops-the-crypto-predictability-list-but-the-other-tokens-may-surprise-you-2661907,Cointelegraph,1.Nov.21
7 lessons learned from building and scaling Bitcoin mining operations,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/7-lessons-learned-from-building-and-scaling-bitcoin-mining-operations-2661902,Cointelegraph,1.Nov.21
NFT hype isn_ cooling down as Coinbase and FTX only dive deeper,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/nft-hype-isnt-cooling-down-as-coinbase-and-ftx-only-dive-deeper-2661897,Cointelegraph,1.Nov.21
The Spookiest NFTs [Halloween Special],,"{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/the-spookiest-nfts-halloween-special-2661894,DailyCoin,31.Oct.21
"Sandbox Price Skyrocket to $1.75, Eyes $2 Soon",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/sandbox-price-skyrocket-to-175-eyes-2-soon-2661893,CoinQuora,31.Oct.21
BTC price 'ready to rally' with Bitcoin bulls clear to charge at $85K  analysis,,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.6249}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/btc-price-ready-to-rally-with-bitcoin-bulls-clear-to-charge-at-85k--analysis-2661888,Cointelegraph,31.Oct.21
Lark Davis Says Polkadot_ Upcoming Auction Will Be a Huge Event,,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/lark-davis-says-polkadots-upcoming-auction-will-be-a-huge-event-2661881,CoinQuora,31.Oct.21
"Ripple_ Partner, Novatti Enables XRP, BTC With CryptoSpend Visa Card",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/ripples-partner-novatti-enables-xrp-btc-with-cryptospend-visa-card-2661859,CoinQuora,31.Oct.21
6 Questions for Yoni Assia of eToro,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/6-questions-for-yoni-assia-of-etoro-2661830,Cointelegraph,31.Oct.21
"Bitcoin Is Still Fine Towards $90k, Says Crypto Expert",,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.2023}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/bitcoin-is-still-fine-towards-90k-says-crypto-expert-2661788,CoinQuora,31.Oct.21
Dallas Mavericks fan wins $100k in Bitcoin at NBA shootout event,,"{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.7184}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/dallas-mavericks-fan-wins-100k-in-bitcoin-at-nba-shootout-event-2661784,Cointelegraph,31.Oct.21
Americans reinvesting stimulus checks in Bitcoin made $4.5k in profit,,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/americans-reinvesting-stimulus-checks-in-bitcoin-made-45k-in-profit-2661781,Cointelegraph,31.Oct.21
Decentraland (MANA) Surges Above 313.48% In the Past Week,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/decentraland-mana-surges-above-31348-in-the-past-week-2661777,CoinQuora,31.Oct.21
Bitcoin eyes third weekly close above $60K as Ethereum fuels new altcoin market cap record,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/bitcoin-eyes-third-weekly-close-above-60k-as-ethereum-fuels-new-altcoin-market-cap-record-2661771,Cointelegraph,31.Oct.21
Michael Saylor Says He Has No Opinions About Shiba Inu Vs. Dogecoin,,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/michael-saylor-says-he-has-no-opinions-about-shiba-inu-vs-dogecoin-2661765,CoinQuora,31.Oct.21
Shiba Inu now accepted as payment at a French bistro in Paris,,"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/shiba-inu-now-accepted-as-payment-at-a-french-bistro-in-paris-2661762,Cointelegraph,31.Oct.21
DeFi Tokens Are the Evolution: AVAX Tops as Three Other Cryptos Stay Bullish,,"{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5106}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/defi-tokens-are-the-evolution-avax-tops-as-three-other-cryptos-stay-bullish-2661758,CoinQuora,31.Oct.21
Aavegotchi Review: Tamagotchi but with Ghosts [Halloween Special],,"{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.5499}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/aavegotchi-review-tamagotchi-but-with-ghosts-halloween-special-2661753,DailyCoin,31.Oct.21
Paris Restaurant _e Bistrot d_leonore et Maxence Now Accept SHIB Payment,,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/paris-restaurant-le-bistrot-deleonore-et-maxence-now-accept-shib-payment-2661752,CoinQuora,31.Oct.21
Satoshi Nakamoto_ Bitcoin white paper is now a 13-year-old teenager,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/satoshi-nakamotos-bitcoin-white-paper-is-now-a-13yearold-teenager-2661751,Cointelegraph,31.Oct.21
Hashbon Rocket: Reinventing Decentralized Finance with Cross-Chain DEX,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/hashbon-rocket-reinventing-decentralized-finance-with-crosschain-dex-2661734,CoinQuora,31.Oct.21
Latinx communities continue to rise above Bitcoin adoption obstacles,,"{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/latinx-communities-continue-to-rise-above-bitcoin-adoption-obstacles-2661733,Cointelegraph,31.Oct.21
Today_ Top 10 Coins by Social Volume,,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2023}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/todays-top-10-coins-by-social-volume-2661730,CoinQuora,31.Oct.21
"Goodbye Telegram, Here Comes Secretum",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/goodbye-telegram-here-comes-secretum-2661718,CoinQuora,31.Oct.21
ADALend Ignites The DeFi Space,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/adalend-ignites-the-defi-space-2661717,CoinQuora,31.Oct.21
Solana Native Soldex AI  Renewing Hope For DEX and AI,,"{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/solana-native-soldex-ai--renewing-hope-for-dex-and-ai-2661716,CoinQuora,31.Oct.21
"Ethereum_ new all-time high prepares ETH for 'continuation to $5,000'",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/ethereums-new-alltime-high-prepares-eth-for-continuation-to-5000-2661714,Cointelegraph,31.Oct.21
Aavegotchi gains 50% as _otchiverse auctions set a path to the Metaverse,,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/aavegotchi-gains-50-as-gotchiverse-auctions-set-a-path-to-the-metaverse-2661686,Cointelegraph,30.Oct.21
"Altcoin Roundup: Dogecoin, Shiba Inu and memes are hauling the dogsled to mass adoption",,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/altcoin-roundup-dogecoin-shiba-inu-and-memes-are-hauling-the-dogsled-to-mass-adoption-2661682,Cointelegraph,30.Oct.21
US Senator Hagerty to CFPB Director: Don_ Stifle Crypto Innovation ,,"{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.3818}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/us-senator-hagerty-to-cfpb-director-dont-stifle-crypto-innovation-2661681,Cointelegraph,30.Oct.21
DeFi protocol Aave encounters major capital flight ,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/defi-protocol-aave-encounters-major-capital-flight-2661679,Cointelegraph,30.Oct.21
Blockchain technology can make micropayments finally functional,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/blockchain-technology-can-make-micropayments-finally-functional-2661675,Cointelegraph,30.Oct.21
AMC Theatres CEO considers adding Shiba Inu as payment for ticket purchases ,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/amc-theatres-ceo-considers-adding-shiba-inu-as-payment-for-ticket-purchases-2661674,Cointelegraph,30.Oct.21
Celebrities are embracing NFTs in a big way,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/5/news/cryptocurrency-news/celebrities-are-embracing-nfts-in-a-big-way-2661664,Cointelegraph,30.Oct.21
Kazakhstan expects at least $1.5B in economic activity from crypto mining within 5 years,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",https://www.investing.com/news/cryptocurrency-news/5/news/cryptocurrency-news/kazakhstan-expects-at-least-15b-in-economic-activity-from-crypto-mining-within-5-years-2661661,Cointelegraph,30.Oct.21
