Title,Link,Media,Date,Vader
Celebrities are embracing NFTs in a big way,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/celebrities-are-embracing-nfts-in-a-big-way-2662007,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Top 5 cryptocurrencies to watch this week: BTC, ETH, BNB, MATIC, FTM",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/top-5-cryptocurrencies-to-watch-this-week-btc-eth-bnb-matic-ftm-2661998,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.859, 'pos': 0.141, 'compound': 0.2023}"
Kazakhstan expects at least $1.5B in economic activity from crypto mining within 5 years,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/kazakhstan-expects-at-least-15b-in-economic-activity-from-crypto-mining-within-5-years-2661963,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Bakkt stock goes parabolic, GBTC outpaces BITO ETF and Tom Brady offers 1 BTC for 600th touchdown ball: Hodler’s Digest, Oct. 24-30",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/bakkt-stock-goes-parabolic-gbtc-outpaces-bito-etf-and-tom-brady-offers-1-btc-for-600th-touchdown-ball-hodlers-digest-oct-2430-2661958,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Inside the blockchain developer’s mind: What is a testnet?,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/inside-the-blockchain-developers-mind-what-is-a-testnet-2661952,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The United States will become the global crypto and blockchain leader,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/the-united-states-will-become-the-global-crypto-and-blockchain-leader-2661945,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}"
Top Crypto Projects We Believed in that Are Now Dead Coins,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/top-crypto-projects-we-believed-in-that-are-now-dead-coins-2661942,DailyCoin,"Nov 01, 2021","{'neg': 0.285, 'neu': 0.596, 'pos': 0.119, 'compound': -0.5423}"
"Price analysis 10/29: BTC, ETH, BNB, ADA, SOL, XRP, DOT, DOGE, SHIB, LUNA",https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/price-analysis-1029-btc-eth-bnb-ada-sol-xrp-dot-doge-shib-luna-2661940,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The major tax myths about cryptocurrency debunked,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/the-major-tax-myths-about-cryptocurrency-debunked-2661928,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Trick or Treat: Will Halloween NFTs be hauntingly good or too spooky for crypto?,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/trick-or-treat-will-halloween-nfts-be-hauntingly-good-or-too-spooky-for-crypto-2661924,Cointelegraph,"Nov 01, 2021","{'neg': 0.067, 'neu': 0.618, 'pos': 0.315, 'compound': 0.6597}"
Elon Musk-named meme token 'Dogelon Mars' gains nearly 4000% in October,https://www.investing.com/news/cryptocurrency-news/2/news/cryptocurrency-news/elon-musknamed-meme-token-dogelon-mars-gains-nearly-4000-in-october-2661922,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}"
What is the worst nightmare that could happen to crypto? Experts answer,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/what-is-the-worst-nightmare-that-could-happen-to-crypto-experts-answer-2661912,Cointelegraph,"Nov 01, 2021","{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.6249}"
AVAX tops the crypto predictability list... but the other tokens may surprise you,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/avax-tops-the-crypto-predictability-list-but-the-other-tokens-may-surprise-you-2661907,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 0.696, 'pos': 0.304, 'compound': 0.5859}"
7 lessons learned from building and scaling Bitcoin mining operations,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/7-lessons-learned-from-building-and-scaling-bitcoin-mining-operations-2661902,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
NFT hype isn’t cooling down as Coinbase and FTX only dive deeper,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/nft-hype-isnt-cooling-down-as-coinbase-and-ftx-only-dive-deeper-2661897,Cointelegraph,"Nov 01, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
The Spookiest NFTs [Halloween Special],https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/the-spookiest-nfts-halloween-special-2661894,DailyCoin,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.597, 'pos': 0.403, 'compound': 0.4019}"
"Sandbox Price Skyrocket to $1.75, Eyes $2 Soon",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/sandbox-price-skyrocket-to-175-eyes-2-soon-2661893,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
BTC price 'ready to rally' with Bitcoin bulls clear to charge at $85K — analysis,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/btc-price-ready-to-rally-with-bitcoin-bulls-clear-to-charge-at-85k--analysis-2661888,Cointelegraph,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.6249}"
Lark Davis Says Polkadot’s Upcoming Auction Will Be a Huge Event,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/lark-davis-says-polkadots-upcoming-auction-will-be-a-huge-event-2661881,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}"
"Ripple’s Partner, Novatti Enables XRP, BTC… With CryptoSpend Visa Card",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/ripples-partner-novatti-enables-xrp-btc-with-cryptospend-visa-card-2661859,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6 Questions for Yoni Assia of eToro,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/6-questions-for-yoni-assia-of-etoro-2661830,Cointelegraph,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Bitcoin Is Still Fine Towards $90k, Says Crypto Expert",https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/bitcoin-is-still-fine-towards-90k-says-crypto-expert-2661788,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.2023}"
Dallas Mavericks fan wins $100k in Bitcoin at NBA shootout event,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/dallas-mavericks-fan-wins-100k-in-bitcoin-at-nba-shootout-event-2661784,Cointelegraph,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.6, 'pos': 0.4, 'compound': 0.7184}"
Americans reinvesting stimulus checks in Bitcoin made $4.5k in profit,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/americans-reinvesting-stimulus-checks-in-bitcoin-made-45k-in-profit-2661781,Cointelegraph,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
Decentraland (MANA) Surges Above 313.48% In the Past Week,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/decentraland-mana-surges-above-31348-in-the-past-week-2661777,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Bitcoin eyes third weekly close above $60K as Ethereum fuels new altcoin market cap record,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/bitcoin-eyes-third-weekly-close-above-60k-as-ethereum-fuels-new-altcoin-market-cap-record-2661771,Cointelegraph,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Michael Saylor Says He Has No Opinions About Shiba Inu Vs. Dogecoin,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/michael-saylor-says-he-has-no-opinions-about-shiba-inu-vs-dogecoin-2661765,CoinQuora,"Oct 31, 2021","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}"
Shiba Inu now accepted as payment at a French bistro in Paris,https://www.investing.com/news/cryptocurrency-news/3/news/cryptocurrency-news/shiba-inu-now-accepted-as-payment-at-a-french-bistro-in-paris-2661762,Cointelegraph,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.2732}"
DeFi Tokens Are the Evolution: AVAX Tops as Three Other Cryptos Stay Bullish,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/defi-tokens-are-the-evolution-avax-tops-as-three-other-cryptos-stay-bullish-2661758,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.5106}"
Aavegotchi Review: Tamagotchi but with Ghosts [Halloween Special],https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/aavegotchi-review-tamagotchi-but-with-ghosts-halloween-special-2661753,DailyCoin,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.664, 'pos': 0.336, 'compound': 0.5499}"
Paris Restaurant ‘Le Bistrot d’Eleonore et Maxence’ Now Accept SHIB Payment,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/paris-restaurant-le-bistrot-deleonore-et-maxence-now-accept-shib-payment-2661752,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}"
Satoshi Nakamoto’s Bitcoin white paper is now a 13-year-old teenager,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/satoshi-nakamotos-bitcoin-white-paper-is-now-a-13yearold-teenager-2661751,Cointelegraph,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Hashbon Rocket: Reinventing Decentralized Finance with Cross-Chain DEX,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/hashbon-rocket-reinventing-decentralized-finance-with-crosschain-dex-2661734,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Latinx communities continue to rise above Bitcoin adoption obstacles,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/latinx-communities-continue-to-rise-above-bitcoin-adoption-obstacles-2661733,Cointelegraph,"Oct 31, 2021","{'neg': 0.245, 'neu': 0.755, 'pos': 0.0, 'compound': -0.3818}"
Today’s Top 10 Coins by Social Volume,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/todays-top-10-coins-by-social-volume-2661730,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.2023}"
"Goodbye Telegram, Here Comes Secretum",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/goodbye-telegram-here-comes-secretum-2661718,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
ADALend Ignites The DeFi Space,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/adalend-ignites-the-defi-space-2661717,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Solana Native Soldex AI — Renewing Hope For DEX and AI,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/solana-native-soldex-ai--renewing-hope-for-dex-and-ai-2661716,CoinQuora,"Oct 31, 2021","{'neg': 0.0, 'neu': 0.775, 'pos': 0.225, 'compound': 0.4404}"
"Ethereum’s new all-time high prepares ETH for 'continuation to $5,000'",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/ethereums-new-alltime-high-prepares-eth-for-continuation-to-5000-2661714,Cointelegraph,"Oct 31, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Aavegotchi gains 50% as ‘Gotchiverse’ auctions set a path to the Metaverse,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/aavegotchi-gains-50-as-gotchiverse-auctions-set-a-path-to-the-metaverse-2661686,Cointelegraph,"Oct 30, 2021","{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.34}"
"Altcoin Roundup: Dogecoin, Shiba Inu and memes are hauling the dogsled to mass adoption",https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/altcoin-roundup-dogecoin-shiba-inu-and-memes-are-hauling-the-dogsled-to-mass-adoption-2661682,Cointelegraph,"Oct 30, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
US Senator Hagerty to CFPB Director: Don’t Stifle Crypto Innovation ,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/us-senator-hagerty-to-cfpb-director-dont-stifle-crypto-innovation-2661681,Cointelegraph,"Oct 30, 2021","{'neg': 0.0, 'neu': 0.776, 'pos': 0.224, 'compound': 0.3818}"
DeFi protocol Aave encounters major capital flight ,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/defi-protocol-aave-encounters-major-capital-flight-2661679,Cointelegraph,"Oct 30, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Blockchain technology can make micropayments finally functional,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/blockchain-technology-can-make-micropayments-finally-functional-2661675,Cointelegraph,"Oct 30, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
AMC Theatres CEO considers adding Shiba Inu as payment for ticket purchases ,https://www.investing.com/news/cryptocurrency-news/4/news/cryptocurrency-news/amc-theatres-ceo-considers-adding-shiba-inu-as-payment-for-ticket-purchases-2661674,Cointelegraph,"Oct 30, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Celebrities are embracing NFTs in a big way,https://www.investing.com/news/cryptocurrency-news/5/news/cryptocurrency-news/celebrities-are-embracing-nfts-in-a-big-way-2661664,Cointelegraph,"Oct 30, 2021","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
